"LAKENUMBER_TO_USE"	"Lac"	"Mesure"	"date"	"Green_Algae_ug.L"	"Bluegreen_ug.L"	"Diatoms_ug.L"	"Cryptophyta_ug.L"	"Yellow.sub_ug.L"	"Total_conc_ug.L"	"treatment"	"Year"	"Month"	"Day"
11	"LAC 11"	"Mesure 1"	2016-02-17 16:25:20	4.77666666666667	0.223333333333333	6.98	0	0.663333333333333	11.9833333333333	"No perch - Phosphorus"	2016	2	17
11	"LAC 11"	"Mesure 1"	2016-09-22 14:40:00	3.01	0.426666666666667	1.76	0.266666666666667	1.36666666666667	5.46666666666667	"No perch - Phosphorus"	2016	9	22
11	"LAC 11"	"Mesure 1"	2016-06-20 16:01:20	2.52	0	0.663333333333333	0	0.766666666666667	3.18333333333333	"No perch - Phosphorus"	2016	6	20
11	"LAC 11"	"Mesure 1"	2016-11-21 17:22:20	11.13	0	2.3	0	1.47666666666667	13.43	"No perch - Phosphorus"	2016	11	21
11	"LAC 11"	"Mesure 1"	2016-03-22 15:15:00	5.02666666666667	0	6.03	0	0.99	11.0566666666667	"No perch - Phosphorus"	2016	3	22
11	"LAC 11"	"Mesure 1"	2016-10-18 15:10:00	4.41333333333333	0	4.38333333333333	0	1.03	8.79333333333333	"No perch - Phosphorus"	2016	10	18
11	"LAC 11"	"Mesure 1"	2016-07-20 15:20:20	10.9233333333333	0	1.36	0	0.976666666666667	12.28	"No perch - Phosphorus"	2016	7	20
11	"LAC 11"	"Mesure 1"	2016-04-14 16:45:40	7.22666666666667	0	5.4	0	0.246666666666667	12.6266666666667	"No perch - Phosphorus"	2016	4	14
12	"LAC 12"	"Mesure 1"	2016-12-15 18:07:00	7.29333333333333	0.586666666666667	0.53	0	1.25	8.40666666666667	"No perch - Control"	2016	12	15
12	"LAC 12"	"Mesure 1"	2016-09-22 14:42:00	19.72	0	0	0	1.59333333333333	19.72	"No perch - Control"	2016	9	22
12	"LAC 12"	"Mesure 1"	2016-02-17 16:27:20	11.09	0	13.87	0	0.383333333333333	24.96	"No perch - Control"	2016	2	17
12	"LAC 12"	"Mesure 1"	2016-06-20 16:04:00	0	0.153333333333333	0.936666666666667	0	0.63	1.09	"No perch - Control"	2016	6	20
12	"LAC 12"	"Mesure 1"	2016-05-17 16:12:20	2.42333333333333	0.306666666666667	2.24	0	0.556666666666667	4.97	"No perch - Control"	2016	5	17
12	"LAC 12"	"Mesure 1"	2016-10-18 15:36:00	6.14666666666667	0.326666666666667	0.726666666666667	0	1.2	7.20333333333333	"No perch - Control"	2016	10	18
12	"LAC 12"	"Mesure 1"	2016-03-22 15:19:00	3.63	0	4.16333333333333	0	0.65	7.79333333333333	"No perch - Control"	2016	3	22
12	"LAC 12"	"Mesure 1"	2016-07-20 15:22:20	1.39333333333333	0	2.41333333333333	0	0.72	3.80666666666667	"No perch - Control"	2016	7	20
12	"LAC 12"	"Mesure 1"	2016-11-21 17:25:00	2.84666666666667	0.253333333333333	1.48	0	1.38333333333333	4.58	"No perch - Control"	2016	11	21
12	"LAC 12"	"Mesure 1"	2016-04-14 16:48:40	3.58666666666667	0	1.46666666666667	0	0.316666666666667	5.05666666666667	"No perch - Control"	2016	4	14
12	"LAC 12"	"Mesure 1"	2016-08-23 15:01:00	3.54333333333333	0.37	1.40333333333333	0	1.91666666666667	5.32	"No perch - Control"	2016	8	23
12	"LAC 12"	"Mesure 1"	2016-01-13 17:38:00	3.19666666666667	0.383333333333333	4.93333333333333	0	0.733333333333333	8.51666666666667	"No perch - Control"	2016	1	13
13	"LAC 13"	"Mesure 1"	2016-01-13 17:40:00	10.8233333333333	0	9.85666666666667	0	0	20.6766666666667	"No perch - Control"	2016	1	13
13	"LAC 13"	"Mesure 1"	2016-06-20 16:06:00	1.49333333333333	0.253333333333333	1.50333333333333	0	0.703333333333333	3.25	"No perch - Control"	2016	6	20
13	"LAC 13"	"Mesure 1"	2016-02-17 16:29:20	20.2233333333333	0	12.3366666666667	0	0	32.56	"No perch - Control"	2016	2	17
13	"LAC 13"	"Mesure 1"	2016-09-22 14:46:00	17.9066666666667	0	3.71666666666667	0	1.17333333333333	21.62	"No perch - Control"	2016	9	22
13	"LAC 13"	"Mesure 1"	2016-07-20 15:25:00	0.703333333333333	0	1.29	0	0.63	2	"No perch - Control"	2016	7	20
13	"LAC 13"	"Mesure 1"	2016-04-14 16:51:40	2.82	0	2.74333333333333	0	0.66	5.56666666666667	"No perch - Control"	2016	4	14
13	"LAC 13"	"Mesure 1"	2016-11-22 15:44:00	18.8933333333333	0.0233333333333333	3.22333333333333	0	1.43666666666667	22.1433333333333	"No perch - Control"	2016	11	22
13	"LAC 13"	"Mesure 1"	2016-03-22 15:20:20	17.9766666666667	0	8.89	0	0.576666666666667	26.8633333333333	"No perch - Control"	2016	3	22
13	"LAC 13"	"Mesure 1"	2016-08-23 15:05:00	8.15666666666667	0.0933333333333333	1.39	0	0.743333333333333	9.63666666666667	"No perch - Control"	2016	8	23
13	"LAC 13"	"Mesure 1"	2016-05-17 16:15:00	0.486666666666667	0.0966666666666667	0.713333333333333	0.173333333333333	0.623333333333333	1.46666666666667	"No perch - Control"	2016	5	17
13	"LAC 13"	"Mesure 1"	2016-12-15 18:12:40	20.6333333333333	0.113333333333333	5.26	0	1.38666666666667	26.01	"No perch - Control"	2016	12	15
13	"LAC 13"	"Mesure 1"	2016-10-18 15:38:00	35.71	0	1.18666666666667	0	1.65666666666667	36.8966666666667	"No perch - Control"	2016	10	18
14	"LAC 14"	"Mesure 1"	2016-06-20 16:10:40	1.46666666666667	0.92	0.563333333333333	0	0.686666666666667	2.95	"No perch - Phosphorus"	2016	6	20
14	"LAC 14"	"Mesure 1"	2016-07-20 15:27:20	1.40666666666667	0	1.96333333333333	0	0.693333333333333	3.36666666666667	"No perch - Phosphorus"	2016	7	20
14	"LAC 14"	"Mesure 1"	2016-02-17 16:31:40	13.1966666666667	0	9.26333333333333	0	0	22.4566666666667	"No perch - Phosphorus"	2016	2	17
14	"LAC 14"	"Mesure 1"	2016-01-13 17:43:00	1.94666666666667	0.623333333333333	1.93666666666667	0.903333333333333	1.20666666666667	5.40666666666667	"No perch - Phosphorus"	2016	1	13
